"image_id","psp_code","gis_code"
"UIdNwBqO50ZTR3cbbj7ELw_97",31341,3211
"06-sEQuVTkqrJs-57TgCEg_215",12233,3212
"ys487-P32cE10VfWkgCIqw_21",43141,3211
"PyItt2iw1qon-A_emd-kbQ_12",11344,3212
"aQppW5nisWjjeRh-HsE-oA_235",33212,3211
"7XbAzCIdXZrvZDwSBx0SoA_179",23413,3212
"PCZmrsE7I2e7oMNasdHZhw_54",31433,3211
"8XSR_hh85cpLVMX1hk8noQ_159",34322,3212
"QI-qOo4W_qmCgqMZ9jJ8Hw_104",12313,3211
"t5ZL4jqiP_I6i_qQwbt7Hw_180",43311,3212
"hADTqNlSABQyzizkBnRR7w_264",42442,3211
"y6EDo-qYvGmGbP3WLCTyjw_179",32421,3212
"xw_XQe66ffnkMmtZnXswYg_174",21321,3211
"XRIu8NcBX79QFxUJoW1jPg_90",23122,3212
"6eLg6gjJ15m-sbnhT41XLw_269",33342,3211
"q7NGeA3nRPUuvzF4FRTAmA_359",44213,3212
"S2dAB5P_yzHJazxRpOQafA_149",14344,3211
"7EqGF5NQQnCmoawwg6g3Qw_22",21131,3212
"BLjxJI3b75Bmk033gINdNA_84",41122,3211
"d18rLKxUVwnpcwAw9UwLdg_152",41332,3212
"4Ft33CA-pwlAL0hbBvu9Zw_178",34211,3211
"eJYB2bEAozAK9pYlMbk-nA_20",34241,3212
"zD1B0Mm_GGj3aBKjyAtRmQ_265",33211,3211
"avAwuPgmWfYrN1LX5ausfg_1",33223,3211
"bvc023UJRMzH04lphmccdw_240",34211,3212
"8fzdcvlX3BCq_JG8Bk-6Gw_203",24344,3211
"mgl1Q23iL_vfx_9vxS4gjA_37",44443,3212
"5T7plQFivrnAmbliEAcW7w_254",43221,3211
"BUTN781r4LusSnj80tfRSA_65",31431,3212
"kTO7IWuN5XOVYJ-U8KXb9Q_269",32432,3211
"ssFMWyswL34ZBTAAGUJKQw_167",43133,3212
"xRRSZ_QcNbdb1hKnjOWkug_199",32323,3211
"ydsC9CMAFW2IjTglMr471g_0",24122,3212
"4WXartBeLUTbqPx_-5u4UQ_270",42411,3211
"-9QIPiJsQx9Sy8NoICcsRA_231",24443,3212
"AL8nlzrjiqjTxLO_km4SRg_109",33221,3211
"QelJ0AUKBZ5n6v6mpHZpWQ_90",34132,3212
"FvDRejnMqy5TpIZwpBfEdg_358",21422,3211
"a2CYYZlojX2vetn009BjCA_337",22144,3212
"ELCAwOmE-ZW01_ESC0b73A_78",34421,3211
"2sJ96akNC5PPamImPJv0Hg_173",42223,3212
"XzK_z5v1Nz7FoPSbQ5-bDg_99",23133,3211
"0aZsEKJThTvmzVMnFNceuA_152",41331,3212
"XMu-R253MpbdZwUXq4eh8g_183",13223,3211
"DQsIuNr6AiTbFhT6i_M9QA_90",23222,3212
"2rvuaS7XCHVFnEdKMQbyew_90",41122,3212
"VXIY6DxU23THzxsSikwMtw_100",31311,3211
"PYJE2yv_xkpt8e1NU7TEcw_358",34321,3212
"q9aFme_IIEP_pz0sVwa0Rg_90",44431,3211
"RVFXn2Z2YyhMaBLCum7iEg_180",13232,3212
"tH31G4GROvEWBVuMug8b_A_174",43112,3211
"Wej6-fyByVICKxw8Fo9VrQ_19",44142,3212
"3UMSUWS6oiBSyn8JgWGyEA_113",43121,3211
"rgth9h9ZtaqjLD3vhZa2Dg_0",41413,3212
"QarD9L8J3osoxVlNtl8weQ_126",33133,3211
"wqVSIrpAjZApBx5icfx9aQ_187",22322,3212
"3U12_dcFmjn7wueOm2xJKw_180",42312,3211
"BIXgrHwUHBnNzTgW29KS1g_34",33233,3212
"1H8t1pvMxR2oHqKpHUJ3oQ_85",13221,3211
"MDrBYt8vd70in6ysSAaUpw_78",22343,3212
"3PjT4HsdhfIpmHUh3natbA_148",24443,3211
"IcDAu4kEsbEKyLLeo5CjqQ_272",21212,3212
"dFfCCFuNR0FSdzB1aF3sIg_186",11221,3211
"VheVy3CPlVHAFhknKotozA_89",11423,3212
"S41aOLylXccmcIJEs1sawg_89",22444,3211
"8Cr0GETH4BNuaurb-01hrA_150",33141,3212
"xDg9BrpYo79FlNSCM-MNqA_142",22412,3211
"Zp8J8-4I_8gW09gpnQUUGg_184",22124,3212
"K4esZc_SwbNvCzA1j7Zrag_180",41432,3211
"JvDKgBral_cCeo8CpkY0WQ_220",43441,3212
"-mLAdLw910RE06daULuFew_67",23244,3211
"HTFG18vgi3HDoewhkLBzqg_90",42144,3212
"ho0vfH2QtpPp0srFPYlVWQ_69",43114,3211
"AZ86Cdru9rDNSA9JGriptQ_158",43134,3212
"8pu4muv7FxLDwrnqbd2BNQ_95",21434,3211
"zmhIs7f3c5-M-SFN-SASOQ_221",41321,3212
"M5-CfUkJtR7_Z6gTnXV7dQ_202",22432,3211
"21Sh0Amhd6WYu3qO_rBeRQ_104",13323,3212
"7J_iDhOWp_aHA75UZgpe2g_84",34341,3211
"A_l04_vNbcD0jxR1SFNKaw_27",11221,3212
"_i3LOXVeB8RGc27bdMihyw_91",22132,3211
"-3LENydTnx3LrDozvHwQEQ_178",33344,3212
"66G89jaiJ0nW4aNOXyPDjQ_108",12411,3211
"xZBsJX0hc1qXNVjtP7jWqQ_184",34331,3212
"Lg2f1yvadOzgoteT9ef-5w_245",13123,3211
"2dA4Nrq9kVG-j0tfXVpf9Q_10",34224,3212
"GLRf9l5qjQntPPRCj2fxcw_115",13344,3211
"wSc7jVmw9AOY8dQWxJxEbA_150",11422,3212
"xIu3d4E2ijMl6KtiHnnnVw_104",33333,3211
"JSgGtLYku-WqSF_DiOCIuQ_120",13232,3212
"nlxwNWx6GHfYgAMzT17WZA_130",43342,3211
"2vfoFQeKUcBfhJ5UiEwX6w_140",34111,3212
"kf79ha1FU_W1HwcjhV2iqA_327",21114,3211
"j-QIkZ3XnKAF0dpqMpsdlw_9",21314,3212
"CN3jO1QkHugcnmex6FBGgg_89",24222,3211
"Srk22MEKFIIgeW2GJ9yWyQ_23",34234,3212
"lyMRJrKN-CHdSSFfCr69_A_270",33212,3211
"x_Nub1-LiZUxYq5P--OCAQ_100",31324,3212
"8-9A4rMx5d6wO-vSo5i-lQ_270",22112,3211
"ajQLIm921v0a6ZKM5lf0ww_86",34132,3212
"RC-rR_XwwTbgU_xzynuySw_238",32224,3211
"CizUHpemCyP3Qxvj2eBo5A_0",42222,3212
"pbn1wzXCCQu65pQNkTjrnQ_178",31241,3211
"kq_MJn2ow0f1SPtJZCsGhw_180",32241,3212
"SLxjkU9d8ZzLyfwYAnEQCg_314",23444,3211
"IuklczgM1EDcMKsFc9ehmg_42",22112,3212
"Sb2fwFbqQNo4E7j8cRQJQg_13",21212,3211
"nY7SzNWZ5CfVJXO43Du3yw_179",14412,3212
"AKTgZIYrdqo3T4qgDqdcww_48",21311,3211
"fgP3Fp4wGrBwoMarF1FQvw_89",34222,3212
"8lMdL6uyySTCzcwQ0YIZjw_239",42432,3211
"-GPz_QsWelcjG-P4Jktkng_106",41312,3212
"4S3VVCQDiqHw-sqYNKq1Eg_8",13213,3211
"xR3NsoOgrHHITNxn3gCraQ_211",22344,3212
"77rUW9yuZZv6de93OMN1SA_64",23441,3211
"vfC7xU3ZDMQQqGo7zVOTow_176",34222,3212
"km6hgKutXCSD0Kn1fMlbOg_54",14144,3211
"T6grnUzRAVksuiEE73VnLA_180",14321,3212
"BBi-QqcOM3JBMETekBPlTw_219",13342,3211
"J0djxq5giQBIF0roJBSL6Q_180",32123,3212
"w9vhvA2u_-8MjXYGUwJkRA_270",41311,3211
"1GpludGDfzvE4ZrD_6RzLw_352",44142,3212
"qEGGjuqhhco_VxihwOnbjQ_90",23222,3211
"iySM0iXfgiPXePBrcFWvLQ_358",22234,3212
"bPiO75HF2IgbHVcCXnKx0A_255",44221,3211
"5kbw_yCNFIsZtke5lePc1Q_88",11142,3212
"A7TGnqTUHFC6CZUUB52Blw_73",43132,3211
"fjr2tmspkn52yRMh_TInfw_0",34231,3212
"mXYAmHRiFDzlcAxa3z0lJg_222",31431,3211
"awYvlz67sTlp6zoQYNg-Ew_174",21314,3212
"Jx9j0rGuEuan2VxnIm9EDA_245",34122,3211
"AAb5YihtymWwAS-gzMuTEQ_23",43242,3212
"TU2sal5KB_8YpnBzyPYN-g_89",44324,3211
"wPLUd4Q-I9y-XmGM3PEOIA_146",13234,3212
"5d213XoqApGQ6MCUGVxtsg_302",12321,3211
"ntzd-2rhXE-sZaJ3jPImUg_315",14113,3212
"LevtmY31lnp3m_HoFCZ24Q_53",21434,3211
"cIQBuWIPONCHbWCeLUaDxg_28",44311,3212
"Yrfvr6YekEA6K75JsdGuBw_267",14133,3211
"4P-0-Uc89IhWF6ZtRQDU6g_68",22143,3212
"9OKXgnqc-Vn_ud3CmFxFLA_254",34132,3211
"t5BUPiP3B2vEh2CED_o5Tg_177",33114,3212
"V0eY6fui7Hot_jB_59sWWw_31",23123,3211
"3t3DIQEJ7Ya08MjXlpQ4CQ_171",34231,3212
"78he1jU5im5n1RLlhQqymA_88",43242,3211
"WdBd1A2THRIbG77fTKC3HA_33",13311,3212
"k_xa_hfHpiqimqXFV1h2MA_206",43134,3211
"HW1RXZAPHtLmO6G12zvKTA_272",31114,3212
"FKOPNiALUYygOPVa6pFSvw_241",24233,3211
"Js-ItXI_a8OWJji23uWbww_181",34123,3212
"NYQ5Of78qj-hDY9M2VEjnw_359",12222,3211
"Qat0tuTekhyJC19Try0iiA_192",23411,3212
"tyb5J8_W-g3c6MWeITbmCA_265",11333,3211
"j7UDWNn6vDpUANaWnxaeaQ_273",23343,3212
"Znxg0t0crvTZ9OJo-2EgkQ_218",43441,3211
"xu1IS6tzV7lZZyhH9zZq2w_89",42243,3212
"bUnItBJXSm98ix2mdyvX2w_195",22244,3211
"AnZavh99xGiPG53PRALOGA_49",41341,3212
"nqKDgvqF8uQX0W6uffQsKA_130",32134,3211
"86izR44_l1DT1ylYBneThw_89",43321,3212
"T1Y_WG46zuuMdvJ-kYgF6A_342",32114,3211
"IMxDFUHNTxnnDau9bvETEQ_275",22122,3212
"yariRj2g2fDm90aOZMreVQ_287",22131,3211
"28TEieb8zWXc-tgDuuJ4MA_265",34113,3212
"dKLf2k_q4tGaLWv0ayYPGg_180",32133,3211
"x_cTVrUibkSQjJavHY_-vQ_268",32434,3212
"P1StVXeRcCPkIG1VWMIBAA_268",21241,3211
"teH4z4WpbC216jn1CGBbkg_1",23241,3212
"gT0rDfLs2Z65jqy3LHNfjA_91",21214,3211
"_4R5E-JqeMQOxYqMDNyQkw_59",21123,3212
"EvLlGnKjhdumTIzYg50Uhg_89",41313,3211
"Tv74_dcjtFKUSVUEBCbhaA_359",21342,3212
"aKRWXPx7Ng1Sw6mAn5FvaQ_343",11134,3211
"Ut-C8eZHriWv0sEjGAeGGg_39",33343,3212
"67W6cWmsWnjjqN_9l6hI4g_181",42114,3211
"w3EUdifoPmvSxuKt7yXGbA_358",41412,3212
"N5AsYJ3OU1ic3mhhBzR4MA_105",42132,3211
"aTEyGMX1GuCdLj7Aoau0gA_179",13331,3212
"kZ_N9IZDNy93ysfLHXax3w_235",11223,3211
"gOSWBnt1o_SJadqhLlqsgA_334",44334,3212
"4gpWnMkEj0PTXGmE33zNfw_0",43441,3212
"373FF7CA92I6d94QASZfRQ_205",14421,3212
"mloaTiWY-WmStBLtptFxCg_358",41233,3211
"7kL_vvG8L8DuZtxCddoYBQ_169",24412,3212
"Q_QZrp9pT4qdU_FkBwsD9Q_316",44321,3211
"bW-fLE0nS-pM6J42Gx-zUw_144",23131,3212
"rp4KJI7BrhPYHXh_NRDTWA_164",23441,3211
"PboYqeANhtL_NBwJ9Tr7Ww_338",11414,3212
"4y5soiD6ywtLmZewySkJ8w_120",44313,3211
"cUb4BFX3Vwdv-o7AIbt_jA_69",41221,3212
"QkvyPJktf3LB8Chfey8Gsg_2",23421,3211
"MxjKJQ5E79ls3uezgoCOig_123",32244,3212
"36iUDeGadg_V6Ebwvfsb1Q_63",44134,3211
"iuJLKn9Cb1ost7c-PLZHzA_260",11441,3212
"iaGU4yOX-34WG_SHLayngQ_89",12232,3211
"41H9pVkdABnwmAA6tVhZ6w_4",44431,3212
"HXmBNwU3Qkx-8_yN7wXrZg_244",44224,3211
"-1EpmmAkqNk5Q7M7ZjCDvg_179",22144,3212
"WfL0UFquP0KZRMZIB1EfUw_335",22312,3211
"vE-Aa5BaPHwCqjVpgzDNKA_271",21223,3212
"XEvoq80nAF6JXWpSPEwuEg_269",12212,3211
"OfFKQmtdLZ-Rq66xGSpMDA_55",31242,3212
"OH2C4fzF-saBw809m_Rb_A_119",32131,3211
"gkDgEPdamkqfy3WoEoaJaQ_269",12344,3212
"ut7-C0XoBWdHQGsBWVi6gA_269",42423,3211
"a8A_JWm0a2Zd11Zb9SsWSg_281",12324,3212
"88UOuH636jwlKBTL4cSPxA_239",34312,3211
"YdBq7eax8TqGG1z-z7ZUxw_31",43112,3212
"KMa-IKGzopvmEiwDnoqFWQ_248",34233,3211
"qgqgF49uM3peZ8nZkdX0tw_3",42141,3212
"eE1afZlVbsbywXAOCNnH2A_89",12132,3211
"7lqMbKFiRHFR9zHTKevj2w_343",44311,3212
"WlCVwucXkTQiJlq2ti_VzA_254",21444,3211
"iH2CqDm2e0nXDbAjXQfdDw_271",34224,3212
"s0yXsVd7PAXSNac-HIF_gg_275",11431,3211
"ePbyzVnfkIchcox3NCZiUQ_168",11224,3212
"9squctR71x6-bRqfNgC6UQ_79",32243,3211
"kjwBPYM_AOJIROZkfzg4sQ_47",22313,3212
"Db0xiBfutqfVRRFCJqWM2A_303",14424,3211
